happy	Ganbatte! It's not as scary as it sounds!
happy	Starbound is about as lovely as I thought it would be. Like Terraria if it were slower-paced, atmospheric and sci-fi
happy	Very pretty! ^_^
happy	I love this conversation already.
happy	I'm super excited to play Samus in Project M
happy	YAY
happy	Have a fantastic day ^w^
happy	That's good!
happy	This is brilliant.
happy	Good morning!
happy	I sent you a song for your consideration, might be a good addition to the playlist. Always makes me feel good!
happy	I'll upload it, give me a minute ^w^
happy	Oh yeah! I'll check it out today :) Thanks!
happy	That's awesome! I'll be at a friend's on Saturday uwu
happy	we love you, senpai
happy	Hiii, I'm Cody ^w^
happy	I think your tweets are p cool
happy	I just ate and now I'm watching Top Gear, so I'm doing pretty well! c:
happy	how's it going? :D
happy	Yeah! c: Anyhow, I'm studying computer networking &amp; security there ^_^
happy	I appreciate it! c:
happy	Holy fucking shit. This was beautiful. You have to listen to this.
happy	Mispy favorited...
happy	You have to believe in the Cody that believes in you!
happy	That's rad
happy	is she a kawaii mom
happy	Very cute. I love your hair!
happy	In short, I love glasses
happy	This is the opposite direction I usually go, but this is an example of why I love ReNamer.
happy	neat-o bio get
happy	Yes :)
happy	my sides
happy	one sixty eight's version of Sorairo Days is probably my favourite *-*
happy	Nikki Sixx has Bonfire on his iTunes? Neat.
happy	Naturally! :D
happy	It's a simple Ruby script run as a cron job ^_^
happy	So far found three homes for my copies of @0xabad1dea's novel. Let me know if you're in Melbourne and want one!
happy	You're so old even your kohai have kohai! :p
happy	At least, say, 10 for each emotion. tsv format would be preferable ^^
happy	You're such a dork ♥
happy	Yay! ^_^ I still have one with me if you're at work today.
happy	At least, say, 10 for each emotion. tsv format would be preferable ^^
happy	I can parse those, yep ^_^
happy	That's a genetics pun :D A misprime is when you accidentally amplify the wrong section of DNA in a polymerase chain reaction
angry	e probably wouldn't want to be a member of a interstellar community that doesn't treat sapient rights as sacrosanct anyway
happy	Elite hacker Cody the Codemaster
happy	Heh, there are a lot of Vocaloid videos along such lines. :D
happy	Albino kiwis. What is it with you and birds lately? :D
happy	German has some truly amazing words
happy	I really love this city sometimes
happy	You certainly should, that's what Bioware RPGs are all about ^_^
happy	... I think I'll just bury my face in this pillow here
happy	The draft copy I have is the most precious item in my possession ^^
happy	She's been floating ideas around for ages but only really started writing out the draft about a year ago
happy	I love that about the Pokemon games.
happy	You should write a children's book called "Adventures of Aspiration the Sparkle Ice Dinosaur"
happy	Wan Shi Tong talking to Jenora about radio is possibly the funniest moment in the season so far. "I ... did not know this" #korra
happy	<3 You are a wonderful force for my self-esteem
happy	The X and Y soundtrack is on iTunes! Which is much less DRM-y than I remember it being. #pokemon
happy	My sister was just accepted into a software engineering degree at RMIT whee :D
happy	This character in particular. Such magnificent coloring!
happy	Confirmed, thank you muchly!
happy	Making a Breton girl now, though I assume you're asleep ^^
angry	Well, historically, a lot of these ideas *were* treated as scientifically valid. And the social effects were not pleasant.
angry	Especially since it was so pointless. I hope if we ever succumb to fascism again they at least have good experimental design
angry	Yes, I'm sure this special stereotype reference class you have just now constructed based on subjective opinion is very different
angry	And you think your own experience has *less* selection bias than statistics provided by dedicated research organizations?
angry	77-84% have completed some kind of tertiary education. This is trivially disprovable, sorry.
angry	You should apply the same scrutiny to the majority responses as you do to the SJ reaction to them.angry	Nope; countries like the US are wealthy and unhappy. The better measure is economic equality.
angry	If you use "methinks", prepare to have the rest of your argument ignored as it's now obvious you've never spoken with people in real life
